t_index   tf-idf
6942      0.016428590329290584
10988     0.005177237760745643
3154      0.0036472426362068335
8064      0.003936388754206473
11237     0.004117973200101242
8651      0.0028061928044248465
6102      0.0021877921362382
2370      0.005262148870891799
3152      0.004617435891772902
5996      0.00850418433629402
10122     0.00277841852972505
10578     0.002127399939551752
3307      0.02626747360683123
8357      0.03644381437861076
9264      0.0029659619568516483
6349      0.006856505672671862
8372      0.014588970544827334
12036     0.01944892970807535
8952      0.0044684001441737545
10827     0.016888829911014945
75        0.0021056261797150174
675       0.01223967506583405
8390      0.005027280784094207
3583      0.013268242065041336
8264      0.005612385608849693
9221      0.01425318212719645
9492      0.0106474359085069
9583      0.001755199235642504
3574      0.007288762875722151
586       0.0024028480125551878
6900      0.0014543041446084684
208       0.001734877155201965
368       0.004715965599887909
1458      0.005612575814964313
2749      0.005092040833991796
1743      0.0018078100963270104
4255      0.002602329999368854
5259      0.003942111150897989
7207      0.001046210423395575
4838      0.003459715991431058
10111     0.006230462492479104
11037     0.008872188094908274
12093     0.0015636074168762773
6619      0.029155051502888604
9402      0.007288762875722151
3993      0.0016905524413074488
11140     0.01889496850730682
758       0.002204462937934422
10772     0.0048248938306435845
4412      0.0021877921362382
9220      0.002227396663973353
11927     0.007733362570142936
8949      0.002557041404260044
5330      0.0023933367722252085
7425      0.0011470329389138636
10054     0.006307617503958503
10094     0.0022034536881781466
2063      0.002955243382442826
8408      0.003942111150897989
1694      0.006192930897697538
2366      0.012654670674289072
1889      0.00668218999192006
5285      0.0037465056701594113
1457      0.0031343413893361355
2631      0.005027280784094207
1454      0.002602329999368854
7511      0.007288762875722151
2686      0.006108506625941336
5233      0.003818359922863112
4978      0.004537133976085861
1904      0.0035003130037393926
6727      0.0014128657334694869
6514      0.0033960787260868984
10684     0.004045632934133829
1467      0.0033476293589687046
11348     0.004117973200101242
8370      0.005262148870891799
10647     0.0026992812153295454
12171     0.0006654347260326333
7447      0.0015136070836074041
8133      0.032531356347997
109       0.011701392648769961
11259     0.006566868401707808
7442      0.00512307945367912
4664      0.004211252359430035
6930      0.0042992773089786185
1334      0.002251903055296341
8330      0.029177941089654668
7475      0.0024646666187995298
3358      0.005262148870891799
11414     0.0029412488310150637
5735      0.005640725463096793
1045      0.00277841852972505
7217      0.001181945936925674
3030      0.0038955414177585593
5608      0.0035280872784391893
6076      0.008294412906501116
9371      0.003832509723911864
12133     0.006695258717937409
11006     0.007288762875722151
756       0.03795884911642075
1257      0.007288762875722151
10745     0.003978903782888564
5316      0.002792213083415916
2210      0.004422747355013778
4263      0.002441786139343403
4460      0.004069523832983047
4762      0.01011471700429173
2150      0.002157158351978179
8319      0.007957807565777127
667       0.0026556004445782116
7204      0.0021200913230481422
6648      0.002712060192559922
3692      0.003692571582533433
4348      0.004694082872050482
5764      0.002347041436025241
9549      0.004791418306997391
10866     0.004401184979664778
4049      0.0029317953244477135
2316      0.0038955414177585593
8653      0.004278517060126693
11001     0.0014314972424740733
2656      0.0024618150946545923
67        0.004537133976085861
1726      0.002112833638083663
389       0.006566868401707808
7495      0.0037465056701594113
488       0.0035834918360655205
1913      0.0018407014691598038
6871      0.004786673544450417
